Date,Open,High,Low,Close,SMA_14,EMA_14,RSI_14,ATR_14,STOCH_K,STOCH_D,High_pct_change,Low_pct_change,Close_pct_change,INDEX_FUTURES_Buy_Amount in Crore,INDEX_FUTURES_Buy_No. of Contracts,INDEX_FUTURES_OI_Amount in Crore,INDEX_FUTURES_OI_No. of Contracts,INDEX_FUTURES_Sell_Amount in crore,INDEX_FUTURES_Sell_No. of Contracts,INDEX_OPTIONS_Buy_Amount in Crore,INDEX_OPTIONS_Buy_No. of Contracts,INDEX_OPTIONS_OI_Amount in Crore,INDEX_OPTIONS_OI_No. of Contracts,INDEX_OPTIONS_Sell_Amount in crore,INDEX_OPTIONS_Sell_No. of Contracts,INTEREST_RATE_FUTURES_Buy_Amount in Crore,INTEREST_RATE_FUTURES_Buy_No. of Contracts,INTEREST_RATE_FUTURES_OI_Amount in Crore,INTEREST_RATE_FUTURES_OI_No. of Contracts,INTEREST_RATE_FUTURES_Sell_Amount in crore,INTEREST_RATE_FUTURES_Sell_No. of Contracts,STOCK_FUTURES_Buy_Amount in Crore,STOCK_FUTURES_Buy_No. of Contracts,STOCK_FUTURES_OI_Amount in Crore,STOCK_FUTURES_OI_No. of Contracts,STOCK_FUTURES_Sell_Amount in crore,STOCK_FUTURES_Sell_No. of Contracts,STOCK_OPTIONS_Buy_Amount in Crore,STOCK_OPTIONS_Buy_No. of Contracts,STOCK_OPTIONS_OI_Amount in Crore,STOCK_OPTIONS_OI_No. of Contracts,STOCK_OPTIONS_Sell_Amount in crore,STOCK_OPTIONS_Sell_No. of Contracts,P/E,P/B,Div Yield%,SPX_Close,SPX_High,SPX_Low,SPX_Open,SPX_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,expiry,put_ratio,call_ratio,days_to_expiry
2023-01-02,18131.7,18215.15,18086.5,18197.45,18217.59642857143,18223.57157189204,43.26448076446552,208.5204081632651,45.90768563215289,,0.4602436616533515,-0.2492871600567003,0.3626245746399951,3294.97,33752.0,11451.34,118765.0,4604.68,47371.0,843790.88,8347375.0,147077.58,1526040.0,838457.74,8307227.0,0.0,0.0,20.79,1045.0,0.0,0.0,9208.89,128085.0,133559.2,1925041.0,8815.33,123756.0,6669.01,87417.0,4033.99,55805.0,6766.4,88654.0,21.9,4.27,1.26,,,,,,14.87,15.45,14.57,14.69,2023-01-05,-0.0072635218981121,0.0037668834141311,3.0
2023-01-03,18163.2,18251.95,18149.8,18232.55,18187.042857142857,18224.76869563977,45.15547270704546,200.9225218658892,52.15956296591345,44.65957698111675,0.4886253523608174,-0.0737755461592751,0.3818159795630645,2815.89,27483.0,11870.67,122541.0,3532.77,35113.0,790331.23,8098912.0,167173.41,1726595.0,791711.2,8109961.0,0.0,0.0,20.77,1045.0,0.0,0.0,7858.0,111258.0,135471.85,1942346.0,7338.05,103383.0,7077.56,95099.0,5873.31,79860.0,7096.64,94972.0,21.94,4.28,1.26,3824.139893,3878.459961,3794.330078,3853.290039,3959140000.0,14.69,14.99,14.31,14.39,2023-01-05,0.0020260747004932,0.0020260747004932,2.0
2023-01-04,18230.65,18243.0,18020.6,18042.95,18160.475,18200.5262028878,37.82220713446512,202.4566274468972,38.43513088256348,45.500793160209945,0.0677430590790703,-1.1521805311385107,-1.0295847926431627,2905.03,29849.0,12774.39,131276.0,3571.22,37256.0,1153394.54,12217891.0,181077.53,1871373.0,1143430.16,12099580.0,0.0,0.0,20.8,1045.0,0.0,0.0,8483.81,118163.0,136953.57,1958605.0,8638.65,120118.0,7706.05,100919.0,6815.08,92548.0,7645.86,99695.0,21.71,4.23,1.27,3852.969971,3873.159912,3815.77002,3840.360107,4414080000.0,14.39,15.68,14.33,15.2,2023-01-05,-0.0016812346241084,-0.0016812346241084,1.0
2023-01-05,18101.95,18120.3,17892.6,17992.15,18140.7,18172.74270916943,36.1292125129327,204.25972548640453,31.168645401230425,40.58777974990245,0.1013702943605442,-1.1565052383859318,-0.606564486146516,3990.4,41824.0,14114.45,147865.0,6594.99,69327.0,1502476.82,14572110.0,205543.04,2112438.0,1501697.51,14576541.0,0.0,0.0,20.8,1045.0,0.0,0.0,9706.34,138123.0,137443.39,1992435.0,11807.64,169125.0,9690.75,128422.0,7698.2,105877.0,9702.1,128589.0,21.65,4.22,1.28,3808.100098,3839.73999,3802.419922,3839.73999,3893450000.0,15.2,15.6,14.81,14.98,2023-01-05,-0.0111562566463834,0.0054165435215542,0.0
2023-01-06,18008.05,18047.4,17795.55,17859.45,18100.62857142857,18130.97034794684,32.08856555177067,207.6590308088044,12.18709769703918,27.263624660277696,0.2185133870685731,-1.1800278208912127,-0.825186513809094,5979.87,63146.0,13504.32,141322.0,4500.92,46613.0,2939459.01,28873586.0,120405.97,1266873.0,2928308.07,28758622.0,0.0,0.0,20.79,1045.0,0.0,0.0,11033.18,156850.0,139456.62,2017315.0,10489.51,147390.0,11289.35,147983.0,8302.95,113898.0,11419.05,149176.0,21.49,4.19,1.29,3895.080078,3906.189941,3809.560059,3823.370117,3923560000.0,14.98,15.44,14.62,15.03,2023-01-12,-0.000447022303914,-0.000447022303914,6.0
2023-01-09,17952.55,18141.4,17936.15,18101.2,18080.33571428572,18127.0009682206,44.30833141457036,212.9655286081756,46.767272207123646,30.04100510179775,1.0519396965890762,-0.0913519249354427,0.8280160757107011,4853.05,51540.0,13906.31,146863.0,4925.43,52337.0,964946.22,9847733.0,190865.85,2014120.0,951427.28,9720380.0,0.0,0.0,20.74,1045.0,0.0,0.0,9273.43,131415.0,139086.75,2030092.0,9627.92,137606.0,10321.44,139860.0,8892.18,123429.0,10409.28,141191.0,21.78,4.25,1.27,3892.090088,3950.570068,3890.419922,3910.820068,4311770000.0,15.03,15.38,14.53,14.65,2023-01-12,0.0026430785598703,0.0026430785598703,3.0
2023-01-10,18121.3,18127.6,17856.0,17914.15,18059.98214285714,18098.62083912452,38.531244166767074,217.15370513616293,25.69329660238778,28.215888835516868,0.0347657176913315,-1.4640230005573514,-1.143129907898428,4970.5,52179.0,13190.26,137798.0,2791.53,28762.0,1032110.51,10738838.0,198082.29,2054704.0,1031940.98,10734468.0,0.0,0.0,20.77,1045.0,0.0,0.0,12270.77,178023.0,140874.78,2033015.0,10288.46,146910.0,11919.87,165981.0,9756.88,135804.0,11693.14,163022.0,21.56,4.2,1.28,3919.25,3919.830078,3877.290039,3888.570068,3851030000.0,14.65,15.94,14.56,15.51,2023-01-12,-0.0066937802475539,-0.0066937802475539,2.0
2023-01-11,17924.25,17976.35,17824.35,17895.7,18043.435714285715,18071.56472724125,38.00488009355462,212.49986905500845,24.73523421588609,32.39860100846584,0.2906676708927768,-0.5573454956274402,-0.1592814204220498,2942.0,30032.0,15524.54,164524.0,5395.96,56416.0,1477287.83,16459727.0,218057.48,2287537.0,1473782.95,16407933.0,0.0,0.0,20.81,1045.0,0.0,0.0,10649.36,154712.0,141099.13,2052063.0,11497.04,160286.0,12593.99,173531.0,10375.8,145462.0,12632.4,173843.0,21.52,4.2,1.28,3969.610107,3970.070068,3928.540039,3932.350098,4303360000.0,15.51,16.23,15.12,15.44,2023-01-12,-0.0013529157426391,0.0042261182476255,1.0
2023-01-12,17920.85,17945.8,17761.65,17858.2,18047.10714285714,18043.116096942413,36.90147122935321,210.474878408222,19.171961874503484,23.200164230925783,0.1392233069301999,-0.8883507199714138,-0.3495927927525638,3446.18,35034.0,14891.91,158059.0,3548.31,36917.0,1453719.35,14483595.0,222072.35,2332954.0,1454944.29,14491086.0,0.0,0.0,20.84,1045.0,0.0,0.0,9501.71,136050.0,140592.44,2047519.0,9694.26,138156.0,10561.3,145723.0,10814.38,151642.0,10658.99,146993.0,21.47,4.19,1.29,3983.169922,3997.76001,3937.560059,3977.570068,4440260000.0,15.44,16.04,14.42,15.28,2023-01-12,-0.0067435417404865,0.0044166431837775,0.0
2023-01-13,17867.5,17999.35,17774.25,17956.6,18042.964285714286,18031.58061735009,41.68578902480682,211.5195299504917,38.71127879269215,27.53949162769391,0.7379319994403164,-0.5218972995662515,0.4986707709528392,3453.02,36241.0,14904.47,158468.0,4008.8,41988.0,2854575.06,28362057.0,131315.33,1420342.0,2842686.46,28238509.0,0.0,0.0,20.86,1045.0,0.0,0.0,8404.34,121047.0,141157.46,2060790.0,9820.3,142048.0,10538.11,145303.0,11402.62,160572.0,10612.72,146379.0,21.54,4.21,1.28,3999.090088,4003.949951,3947.669922,3960.600098,3939700000.0,15.28,15.6,14.4,14.46,2023-01-19,0.001818945011893,0.001818945011893,6.0
