Ticker_x,Date,Open,High,Low,Close,SMA_14,EMA_14,RSI_14,ATR_14,STOCH_K,STOCH_D,High_pct_change,Low_pct_change,Close_pct_change,INDEX_FUTURES_Buy_Amount in Crore,INDEX_FUTURES_Buy_No. of Contracts,INDEX_FUTURES_OI_Amount in Crore,INDEX_FUTURES_OI_No. of Contracts,INDEX_FUTURES_Sell_Amount in crore,INDEX_FUTURES_Sell_No. of Contracts,INDEX_OPTIONS_Buy_Amount in Crore,INDEX_OPTIONS_Buy_No. of Contracts,INDEX_OPTIONS_OI_Amount in Crore,INDEX_OPTIONS_OI_No. of Contracts,INDEX_OPTIONS_Sell_Amount in crore,INDEX_OPTIONS_Sell_No. of Contracts,INTEREST_RATE_FUTURES_Buy_Amount in Crore,INTEREST_RATE_FUTURES_Buy_No. of Contracts,INTEREST_RATE_FUTURES_OI_Amount in Crore,INTEREST_RATE_FUTURES_OI_No. of Contracts,INTEREST_RATE_FUTURES_Sell_Amount in crore,INTEREST_RATE_FUTURES_Sell_No. of Contracts,STOCK_FUTURES_Buy_Amount in Crore,STOCK_FUTURES_Buy_No. of Contracts,STOCK_FUTURES_OI_Amount in Crore,STOCK_FUTURES_OI_No. of Contracts,STOCK_FUTURES_Sell_Amount in crore,STOCK_FUTURES_Sell_No. of Contracts,STOCK_OPTIONS_Buy_Amount in Crore,STOCK_OPTIONS_Buy_No. of Contracts,STOCK_OPTIONS_OI_Amount in Crore,STOCK_OPTIONS_OI_No. of Contracts,STOCK_OPTIONS_Sell_Amount in crore,STOCK_OPTIONS_Sell_No. of Contracts,P/E,P/B,Div Yield%,SPX_Close,SPX_High,SPX_Low,SPX_Open,SPX_Volume,Ticker_y,VIX_Open,VIX_High,VIX_Low,VIX_Close,expiry,put_ratio,call_ratio,days_to_expiry
NIFTY,2025-01-01,23637.65,23822.8,23562.8,23742.9,24009.757142857143,23920.63645017914,40.67870890546588,276.9420799703658,21.20734316927589,14.539684851965712,0.7832842943355105,-0.3166558435377551,0.4452642288890815,3071.63,15881.0,27074.86,140214.0,3973.13,20478.0,1236447.75,6572717.0,351569.07,1875971.0,1251666.07,6669340.0,0.0,0.0,8.22,400.0,0.0,0.0,14669.14,205180.0,389108.86,5460969.0,18160.49,253083.0,42185.99,569469.0,42607.18,602605.0,41991.72,568839.0,21.88,3.54,1.27,,,,,,INDIA VIX,14.45,14.84,14.31,14.51,2025-01-02,-0.0015927979304204,0.0153293580368605,1.0
NIFTY,2025-01-02,23783.0,24226.7,23751.55,24188.65,23984.039285714283,23956.371590155257,52.77673267401523,291.7176456867682,54.67582685737895,29.90827295366098,1.8656182987848493,-0.1322373123659787,1.705630071900103,1041.63,15698.0,21496.17,321229.0,1808.97,27832.0,1088802.53,7492222.0,481872.48,4217262.0,1074262.21,7427144.0,0.0,0.0,0.02,80.0,0.0,0.0,9580.26,148240.0,331621.7,5149118.0,10339.17,159247.0,34351.86,510576.0,47033.9,734638.0,34329.48,509160.0,22.29,3.61,1.25,5868.549805,5935.089844,5829.529785,5903.259766,3621680000.0,INDIA VIX,14.51,14.8,13.63,13.74,2025-01-02,0.0154311903460455,0.0175335323550436,0.0
NIFTY,2025-01-03,24196.4,24196.45,23976.0,24004.75,23929.5,23962.82204480122,48.39191343901891,286.6270995662848,41.20987280436096,39.03101427700527,0.0002066423104233,-0.9108793043593322,-0.7920599758641841,5504.56,86847.0,22492.94,332151.0,3633.43,54997.0,2975934.97,18450952.0,335428.26,3588609.0,3000875.58,18621192.0,0.0,0.0,0.02,80.0,0.0,0.0,35849.31,542080.0,343190.09,5249530.0,24240.56,371426.0,71278.11,1057780.0,54571.91,837073.0,72222.91,1072361.0,22.12,3.58,1.26,5942.470215,5949.339844,5888.660156,5891.069824,3667340000.0,INDIA VIX,13.74,13.98,13.23,13.54,2025-01-09,-0.0081169099535468,0.0001487824635069,6.0
NIFTY,2025-01-06,24045.8,24089.95,23551.9,23616.05,23854.34285714286,23916.58577216106,40.69572819051191,304.58587816869294,13.37171830017607,36.419139320638656,0.18360794816559,-2.0539969558093216,-1.787214399188216,3470.69,52156.0,23621.38,350540.0,5391.47,79821.0,2058006.21,21307236.0,432468.9,4005587.0,2090652.89,21748428.0,0.0,0.0,0.02,80.0,0.0,0.0,23676.52,364770.0,344865.06,5293273.0,25100.13,381599.0,71053.99,1083426.0,59919.3,920014.0,71093.16,1082521.0,21.76,3.52,1.28,5975.379883,6021.040039,5960.009766,5982.810059,4940120000.0,INDIA VIX,13.54,15.92,13.54,15.65,2025-01-09,-0.0019046985336316,0.018888953580251,3.0
NIFTY,2025-01-07,23679.9,23795.2,23637.8,23707.9,23809.47857142857,23888.761002539584,43.00251630171493,295.626172585215,26.4935760171307,27.025055707222577,0.4869108399950982,-0.1777879129557227,0.1182437425833723,5422.57,82846.0,23262.68,348139.0,5180.72,75329.0,1406983.44,9494430.0,516785.89,4690705.0,1383768.01,9392531.0,0.0,0.0,0.02,80.0,0.0,0.0,26860.12,413554.0,338202.12,5318015.0,29003.08,452167.0,85750.68,1281301.0,63343.72,999999.0,84450.16,1262374.0,21.84,3.54,1.27,5909.029785,6000.680176,5890.680176,5993.259766,4517330000.0,INDIA VIX,15.65,15.65,14.35,14.66,2025-01-09,-0.0202661328806287,0.0135177935717634,2.0
NIFTY,2025-01-08,23746.65,23751.85,23496.15,23688.95,23773.057142857146,23862.119535534308,42.634053971331184,292.7743031148423,29.820554649265905,23.228616322190888,0.021897825588018,-1.0548856365003063,-0.2429816416210317,3385.21,50610.0,24540.62,365959.0,3420.62,49148.0,2085580.44,13372339.0,488537.01,4453332.0,2138214.37,13718738.0,0.0,0.0,0.05,257.0,3.62,177.0,22216.01,344463.0,341278.78,5338487.0,19812.79,310453.0,56701.48,864125.0,67422.78,1061386.0,55641.98,847404.0,21.83,3.53,1.27,5918.25,5927.890137,5874.779785,5910.660156,4441740000.0,INDIA VIX,14.66,14.88,14.1,14.47,2025-01-09,-0.0103867282332456,0.0106688732937065,1.0
NIFTY,2025-01-09,23674.75,23689.5,23503.05,23526.5,23742.68571428571,23817.37026412973,39.50878043773756,285.1797100352108,8.619902120717686,21.644677595704763,0.0623026642308788,-0.7252452507418272,-0.6261945743883252,2890.44,42877.0,26019.66,386427.0,4256.11,60181.0,1729367.35,11124785.0,551819.77,4902739.0,1759327.04,11263403.0,0.0,0.0,0.09,457.0,4.08,200.0,22755.65,353396.0,339263.72,5335065.0,25174.91,390984.0,68211.56,1018083.0,71868.11,1136620.0,74276.26,1109115.0,21.68,3.51,1.28,,,,,,INDIA VIX,14.47,14.89,13.75,14.66,2025-01-09,-0.0073812817453193,-0.0052693270256285,0.0
NIFTY,2025-01-10,23551.9,23596.6,23344.35,23431.5,23731.542857142857,23765.920895579104,37.76531597632093,282.8275878898386,9.87703292344322,16.105829897808935,0.1897936047622361,-0.8812452498524658,-0.51121140969519,2426.55,35749.0,26911.55,395923.0,4613.4,65257.0,2547609.81,15504536.0,324450.47,3715472.0,2568576.19,15603360.0,0.0,0.0,0.13,657.0,4.07,200.0,26276.96,406058.0,335581.07,5318975.0,29729.85,465704.0,67533.06,1022060.0,77797.65,1242673.0,72619.82,1102017.0,21.59,3.49,1.28,5827.040039,5890.350098,5807.779785,5890.350098,4751930000.0,INDIA VIX,14.66,15.52,14.66,14.92,2025-01-16,-0.0022036438673738,0.0190260658375756,6.0
NIFTY,2025-01-13,23195.4,23340.95,23047.25,23085.95,23683.864285714288,23675.25810950189,32.19937176595548,290.07204589770726,3.281190385349163,7.259375143170021,0.6274951067884118,-0.6387042258378879,-0.4718607999862073,3326.09,49611.0,27748.91,406956.0,4346.38,59592.0,1121816.16,8412079.0,457451.98,4711067.0,1135090.6,8482157.0,0.0,0.0,0.13,657.0,0.0,0.0,28502.8,448559.0,334427.8,5373306.0,24634.89,390470.0,86536.58,1304849.0,81056.67,1314800.0,86821.73,1311520.0,21.25,3.44,1.3,5836.220215,5838.609863,5773.310059,5782.02002,4421200000.0,INDIA VIX,14.92,16.19,14.45,16.0,2025-01-16,0.0001983151831828,0.0131319140864136,3.0
NIFTY,2025-01-14,23165.9,23264.95,23134.15,23176.05,23644.464285714286,23608.69702823497,34.89380018197036,282.1383283335853,10.920344228241907,8.026189179011427,0.4275681065704301,-0.1370548953418602,0.0438143996132151,5425.69,83944.0,28987.28,427254.0,6844.73,101344.0,1263106.6,9222241.0,626147.06,5875235.0,1245878.8,9048044.0,0.0,0.0,0.13,657.0,0.0,0.0,31612.06,521664.0,333057.14,5496338.0,29364.76,480934.0,83910.35,1311498.0,84315.46,1412171.0,87336.16,1374007.0,21.34,3.46,1.3,5842.910156,5871.919922,5805.419922,5859.27002,4142280000.0,INDIA VIX,16.0,16.0,15.12,15.47,2025-01-16,-0.0071613880747133,0.014422060010619,2.0
